Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Panama,PAN,Prevalence of Undernourishment,26.4,25.9,23.9,23.2,23.5,25.6,26.2,26.5,26.0,27.4,27.6,26.3,24.4,23.4,23.8,22.9,21.1,18.4,16.4,14.8,13.4,12.0,10.8,10.0,9.5
Papua New Guinea,PNG,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,Prevalence of Undernourishment,19.5,19.9,19.2,18.0,16.5,15.6,15.0,14.5,13.9,13.3,12.9,12.1,11.1,10.5,10.7,11.2,11.4,11.9,12.3,12.4,12.1,11.8,11.6,11.1,10.4
Peru,PER,Prevalence of Undernourishment,31.6,28.1,28.6,27.5,26.5,25.1,23.7,22.9,22.3,21.6,20.7,20.6,20.9,21.2,20.3,18.9,17.0,15.4,13.7,12.2,10.7,9.6,8.8,8.1,7.5
Philippines,PHL,Prevalence of Undernourishment,26.3,27.0,26.4,26.0,24.6,23.6,22.7,22.6,22.1,21.3,20.3,19.7,19.2,18.6,17.6,16.4,15.0,13.8,13.0,13.0,13.4,13.9,14.0,13.9,13.5
Poland,POL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,Prevalence of Undernourishment,55.6,53.9,56.1,57.6,60.8,63.9,65.8,66.4,64.5,60.6,54.3,49.0,46.0,46.0,46.7,46.4,45.2,42.8,40.1,37.3,35.4,34.3,33.6,32.7,31.6
Samoa,WSM,Prevalence of Undernourishment,10.7,12.0,13.9,15.3,15.2,13.8,12.1,10.4,8.4,6.6,5.2,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
San Marino,SMR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,Prevalence of Undernourishment,22.9,23.3,24.0,24.9,26.0,27.4,27.7,27.3,24.6,21.5,17.6,15.0,12.8,11.3,10.0,8.9,7.9,7.2,6.7,6.2,5.9,5.9,6.1,6.4,6.6
Saudi Arabia,SAU,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Senegal,SEN,Prevalence of Undernourishment,24.5,25.5,27.1,27.5,28.6,29.4,31.0,31.5,30.9,29.4,28.2,27.4,26.4,24.7,22.9,21.1,18.9,16.6,14.6,13.6,12.9,12.3,11.3,10.6,10.0
Serbia,SRB,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,Prevalence of Undernourishment,42.8,41.7,40.7,38.9,36.7,34.9,33.6,33.7,35.3,38.0,40.2,41.0,40.9,40.5,39.3,37.1,34.4,32.4,30.7,29.0,27.0,25.0,23.5,22.7,22.3
Singapore,SGP,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,SVK,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,Prevalence of Undernourishment,24.8,23.7,23.1,21.0,18.4,16.1,15.0,14.6,14.6,15.0,15.0,14.7,13.8,13.1,12.4,12.0,11.6,11.4,11.0,10.9,10.7,10.6,10.6,10.9,11.3
Somalia,SOM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,Prevalence of Undernourishment,<5.0,<5.0,5.0,5.1,5.2,5.4,5.6,5.5,5.3,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
South Sudan,SSD,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Prevalence of Undernourishment,30.6,31.3,31.9,32.1,31.3,31.3,31.3,31.3,30.7,29.9,29.7,29.7,29.9,29.8,29.5,29.1,28.4,27.6,26.7,26.0,25.3,24.6,23.8,22.9,22.0
Sudan,SDN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,Prevalence of Undernourishment,15.5,14.5,14.8,14.4,14.2,13.6,13.2,13.3,13.5,14.1,13.9,13.8,13.2,12.8,12.2,11.5,10.9,10.1,9.5,8.7,8.3,8.3,8.4,8.3,8.0
Swaziland,SWZ,Prevalence of Undernourishment,15.9,16.6,16.8,18.0,19.4,21.7,23.8,25.1,23.9,21.7,19.2,17.7,16.3,15.6,15.8,17.4,19.4,21.3,22.6,23.6,24.4,25.1,26.1,26.5,26.8
Sweden,SWE,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,SYR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,Prevalence of Undernourishment,28.1,28.1,28.1,28.1,30.6,33.7,36.5,38.1,38.5,38.8,39.5,41.0,42.6,43.1,42.3,40.5,39.0,38.2,38.0,37.4,36.8,35.9,35.0,34.0,33.2
"Tanzania, United Republic of",TZA,Prevalence of Undernourishment,24.2,24.8,27.1,29.6,32.1,34.5,35.6,36.3,36.3,36.8,37.1,37.8,37.7,37.7,36.7,35.4,34.2,33.8,34.5,34.7,34.7,33.4,32.7,32.1,32.1
Thailand,THA,Prevalence of Undernourishment,34.6,33.2,32.6,30.8,27.8,24.7,21.5,20.0,19.2,19.0,18.4,17.5,16.3,15.0,13.4,11.7,10.4,9.7,9.5,9.3,8.9,8.6,8.3,7.9,7.4
Timor-Leste,TLS,Prevalence of Undernourishment,45.2,40.7,38.5,35.5,35.3,36.2,39.2,41.8,44.1,43.9,41.6,38.1,35.0,33.8,33.8,34.0,33.7,33.1,32.6,32.1,31.2,30.2,29.0,27.9,26.9
Togo,TGO,Prevalence of Undernourishment,42.8,41.7,40.7,38.9,36.7,34.9,33.6,33.7,35.3,38.0,40.2,41.0,40.9,40.5,39.3,37.1,34.4,32.4,30.7,29.0,27.0,25.0,23.5,22.7,22.3
Tonga,TON,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,Prevalence of Undernourishment,12.6,13.2,14.7,15.5,15.8,15.3,14.7,14.4,13.8,13.0,11.9,11.3,11.3,11.8,12.0,11.7,11.2,10.7,10.4,10.2,9.9,9.3,8.7,8.0,7.4
Tunisia,TUN,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Turkey,TUR,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Turkmenistan,TKM,Prevalence of Undernourishment,8.6,8.6,8.6,8.6,9.2,9.7,10.1,10.1,9.6,9.0,8.4,7.9,7.2,6.3,5.5,5.1,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Turks and Caicos Islands,TCA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,Prevalence of Undernourishment,23.2,24.4,25.0,25.5,26.4,27.9,29.4,30.0,29.1,28.4,28.1,27.2,25.3,22.9,21.9,22.3,23.7,24.8,25.3,25.1,24.8,24.8,25.0,25.3,25.5
Ukraine,UKR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
United Kingdom,GBR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,Prevalence of Undernourishment,8.6,6.4,5.8,5.1,5.0,5.3,5.2,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Uzbekistan,UZB,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,5.9,7.3,9.1,11.5,14.4,16.8,17.7,16.7,14.7,12.4,10.5,9.4,8.9,8.5,7.7,6.6,5.5,<5.0,<5.0
Vanuatu,VUT,Prevalence of Undernourishment,11.2,11.6,11.9,12.2,12.0,11.3,10.1,9.1,8.3,8.1,8.2,8.3,8.2,7.8,7.4,7.0,6.5,6.1,5.9,6.0,6.1,6.3,6.4,6.4,6.4
"Venezuela, Bolivarian Republic of",VEN,Prevalence of Undernourishment,14.1,13.2,13.2,13.9,14.8,16.0,17.2,18.5,18.1,16.6,15.3,15.1,15.3,13.8,11.7,9.0,6.8,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Vietnam,VNM,Prevalence of Undernourishment,45.6,44.8,41.3,37.9,35.4,35.0,35.0,34.1,31.3,28.1,25.4,23.3,21.4,19.9,19.0,18.5,17.8,16.8,15.6,14.5,13.6,13.0,12.5,11.8,11.0
Virgin Islands (U.S.),VIR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,Prevalence of Undernourishment,28.9,28.6,27.9,28.3,29.3,30.3,30.8,30.7,30.1,29.6,29.4,30.0,30.5,30.9,30.6,29.7,28.5,27.7,27.3,27.0,26.3,25.8,25.7,25.9,26.1
Zambia,ZMB,Prevalence of Undernourishment,33.8,34.9,35.2,35.3,34.3,34.2,35.6,38.1,40.7,42.9,45.4,47.1,48.2,48.5,49.4,50.7,52.5,53.5,53.1,51.7,50.3,49.4,48.8,48.4,47.8
Zimbabwe,ZWE,Prevalence of Undernourishment,42.7,44.4,45.1,46.1,46.3,45.8,44.7,43.8,43.6,43.7,43.7,43.2,42.8,42.5,41.6,40.4,38.6,37.3,36.0,34.7,33.5,33.2,33.5,34.0,33.4
