Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,CAN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Prevalence of Undernourishment,47.3,47.6,48.4,49.2,49.6,49.4,48.2,46.8,45.0,44.1,42.9,42.5,42.2,42.3,41.8,40.6,39.0,37.1,35.3,34.1,33.7,35.3,39.4,44.5,47.7
Chad,TCD,Prevalence of Undernourishment,59.1,56.4,55.7,54.2,51.5,50.9,48.2,45.5,41.7,40.1,40.1,40.2,40.2,39.7,39.7,39.7,40.3,40.8,41.1,41.0,40.1,39.0,37.5,36.1,34.4
Chile,CHL,Prevalence of Undernourishment,9.0,8.1,7.1,6.3,5.8,5.5,5.3,5.2,5.1,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
China,CHN,Prevalence of Undernourishment,23.9,24.5,23.4,22.0,20.1,18.5,17.6,16.9,16.5,16.2,16.0,15.9,15.9,15.8,15.6,15.3,14.8,14.1,13.3,12.5,11.7,11.0,10.4,9.8,9.3
Colombia,COL,Prevalence of Undernourishment,14.6,13.8,12.8,11.7,10.7,10.2,10.0,10.1,10.2,9.9,9.6,9.0,8.9,8.9,9.5,9.7,9.4,9.2,9.6,10.7,11.2,11.1,10.3,9.5,8.8
Comoros,COM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,COD,Prevalence of Undernourishment,43.2,43.3,43.6,44.3,45.0,45.4,45.0,43.2,39.9,35.9,32.0,29.2,27.6,28.5,30.2,32.8,33.3,33.3,32.5,31.5,29.9,28.3,28.0,29.0,30.5
"Congo, the Democratic Republic of the",COG,Prevalence of Undernourishment,23.3,24.7,26.7,28.5,31.4,34.6,36.9,37.7,37.6,37.9,37.7,37.2,35.6,34.5,34.2,35.5,37.5,39.5,41.0,41.8,42.0,41.9,41.8,41.8,41.6
Costa Rica,CRI,Prevalence of Undernourishment,5.2,5.4,5.4,5.4,5.4,5.6,5.8,5.9,5.6,5.2,5.1,5.4,5.9,6.1,6.0,5.6,5.2,5.2,5.3,5.3,5.3,5.4,5.7,5.5,<5.0
Croatia,HRV,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Prevalence of Undernourishment,5.7,9.0,13.1,18.3,20.7,20.1,16.8,12.6,8.7,5.6,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Curacao,CUW,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Prevalence of Undernourishment,74.8,76.8,75.9,74.3,71.5,68.0,64.9,61.0,56.6,52.4,48.9,46.5,43.8,40.9,37.2,33.0,29.3,26.2,24.3,23.1,22.0,20.5,18.9,17.3,15.9
Dominica,DMA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Prevalence of Undernourishment,34.3,32.1,30.7,28.1,26.9,27.3,29.4,31.4,31.9,30.7,28.4,27.4,27.6,28.3,26.9,24.2,21.7,20.5,19.8,18.1,15.9,14.0,13.0,12.5,12.3
Ecuador,ECU,Prevalence of Undernourishment,19.4,19.4,17.0,15.7,14.7,15.1,15.8,16.5,17.2,17.8,18.6,19.3,19.6,19.8,19.3,18.8,17.8,17.1,15.8,14.4,12.8,11.8,11.4,11.1,10.9
Egypt,EGY,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
El Salvador,SLV,Prevalence of Undernourishment,16.2,15.1,15.4,15.4,15.6,15.4,15.0,14.6,13.8,12.5,10.6,9.3,8.9,9.4,10.2,10.7,11.0,11.2,11.5,12.0,12.6,12.9,12.8,12.6,12.4
Equatorial Guinea,GNQ,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Prevalence of Undernourishment,74.8,75.2,72.5,73.4,71.4,69.0,65.7,63.0,60.6,57.9,54.8,51.9,49.9,47.8,45.9,43.8,42.4,41.1,39.5,37.6,36.0,34.9,33.9,33.1,32.0
Faeroe Islands,FRO,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Prevalence of Undernourishment,6.6,6.1,5.7,5.3,5.3,5.4,5.2,5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Finland,FIN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Prevalence of Undernourishment,11.7,9.5,10.1,9.7,9.5,8.5,7.4,6.5,5.5,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
"Gambia, The",GMB,Prevalence of Undernourishment,13.3,13.5,14.6,15.9,17.3,17.6,17.7,17.0,15.9,14.1,13.0,13.0,13.9,14.5,15.0,14.9,14.6,13.1,11.2,8.8,7.1,6.1,5.6,5.4,5.3
Georgia,GEO,Prevalence of Undernourishment,56.5,80.8,67.1,65.0,46.4,29.4,16.3,11.1,12.6,14.8,16.3,13.7,10.5,7.7,6.3,6.0,6.4,6.8,7.6,9.0,10.1,10.1,9.1,8.0,7.4
Germany,DEU,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,Prevalence of Undernourishment,47.3,36.9,33.9,27.3,24.2,22.3,21.4,20.5,19.1,17.5,15.9,14.6,13.6,12.6,11.6,10.5,9.4,8.3,7.3,6.5,5.6,<5.0,<5.0,<5.0,<5.0
Greece,GRC,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Prevalence of Undernourishment,14.9,15.4,15.3,15.2,15.5,17.1,19.3,21.7,22.3,22.1,20.4,18.7,16.9,16.3,16.2,15.9,15.5,15.1,15.2,14.8,14.8,14.8,15.3,15.6,15.6
Guinea,GIN,Prevalence of Undernourishment,23.2,22.8,22.7,23.1,23.9,25.1,26.6,27.9,28.0,27.2,26.1,25.5,25.0,24.2,23.1,22.0,20.7,19.8,18.9,18.3,17.8,17.5,17.1,16.8,16.4
Guinea-Bissau,GNB,Prevalence of Undernourishment,23.1,21.8,21.4,21.0,21.3,22.5,25.0,27.8,29.0,28.4,26.6,25.5,25.1,25.1,25.4,25.7,25.7,25.1,23.8,23.0,22.4,22.4,22.6,22.0,20.7
Guyana,GUY,Prevalence of Undernourishment,22.8,22.0,20.5,18.5,16.4,14.6,13.2,12.2,11.2,10.4,9.7,9.3,9.4,9.7,10.1,10.4,10.8,11.2,11.7,11.9,11.8,11.6,11.5,11.2,10.6
Haiti,HTI,Prevalence of Undernourishment,61.1,61.5,62.6,63.1,62.8,61.4,59.6,57.8,56.1,55.2,55.2,56.1,57.0,57.7,57.6,57.1,55.8,54.4,52.3,50.6,49.3,49.3,50.7,52.3,53.4
Honduras,HND,Prevalence of Undernourishment,23.0,22.7,21.9,21.3,20.5,19.8,19.3,19.3,19.2,19.0,18.5,17.8,17.1,16.8,16.7,16.4,15.9,15.3,15.0,14.9,14.6,13.7,12.8,12.3,12.2
Hong Kong,HKG,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Prevalence of Undernourishment,23.7,22.2,22.4,22.1,21.6,20.5,19.2,18.0,17.3,17.0,17.5,18.6,19.9,20.9,21.2,20.5,18.9,17.2,16.2,15.7,15.6,15.4,15.4,15.3,15.2
Indonesia,IDN,Prevalence of Undernourishment,19.7,19.0,18.1,16.8,15.5,14.6,14.5,15.2,16.1,17.2,18.1,18.7,18.8,18.7,18.8,18.8,18.5,17.7,15.9,13.5,11.1,9.3,8.2,7.6,7.6
"Iran, Islamic Republic of",IRN,Prevalence of Undernourishment,5.1,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,5.2,5.6,6.1,6.4,6.5,6.5,6.6,6.6,6.6,6.5,6.4,6.2,5.9,5.7,5.1,<5.0
Iraq,IRQ,Prevalence of Undernourishment,7.9,13.5,15.3,19.6,21.0,22.6,24.3,25.6,25.7,24.6,23.5,23.3,23.9,24.6,25.1,26.0,26.5,26.6,25.9,25.2,24.5,24.0,23.6,23.2,22.8
Ireland,IRL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,Prevalence of Undernourishment,10.4,10.5,9.6,8.9,8.4,8.4,8.4,8.5,8.2,7.8,7.3,6.8,6.6,6.6,6.8,7.0,7.3,7.6,8.0,8.2,8.3,8.5,8.8,8.7,8.1
Japan,JPN,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,Prevalence of Undernourishment,5.5,5.8,6.7,7.5,8.3,8.4,8.1,7.7,7.4,7.0,6.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Kazakhstan,KAZ,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,5.1,5.4,5.5,5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Kenya,KEN,Prevalence of Undernourishment,32.4,35.3,37.5,37.8,35.3,33.6,33.0,33.4,33.0,32.3,32.3,33.1,34.4,34.0,31.8,28.2,26.3,25.7,25.7,24.8,23.8,22.8,22.1,21.5,21.2
Kiribati,KIR,Prevalence of Undernourishment,7.5,6.7,6.7,6.3,6.3,6.1,5.9,5.6,5.1,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
"Korea, Democratic People's Republic of",PRK,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",KOR,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Kosovo,KSV,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,Prevalence of Undernourishment,39.4,43.6,31.5,21.8,10.8,5.4,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Kyrgyzstan,KGZ,Prevalence of Undernourishment,15.9,15.9,15.9,15.9,15.7,15.8,14.2,13.2,13.9,15.2,16.7,16.5,15.0,12.4,10.4,9.4,9.2,9.1,8.7,7.9,7.2,6.6,6.2,6.0,6.0
Lao People's Democratic Republic,LAO,Prevalence of Undernourishment,42.8,43.6,44.1,44.5,44.0,43.0,41.7,41.0,39.9,39.2,37.9,36.7,34.8,32.2,29.5,26.9,25.6,24.7,24.2,22.8,21.4,20.1,19.4,18.9,18.5
Latvia,LVA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Lesotho,LSO,Prevalence of Undernourishment,15.6,15.2,15.3,15.6,16.0,16.6,16.1,15.2,13.9,13.0,12.3,11.9,11.6,11.3,11.0,10.8,10.8,11.2,11.4,11.4,11.2,11.1,11.2,11.2,11.2
Liberia,LBR,Prevalence of Undernourishment,29.0,27.6,30.7,34.2,38.4,40.2,39.2,37.1,35.9,36.5,37.8,39.6,40.4,40.5,39.7,38.8,37.8,36.6,35.5,34.9,34.7,34.2,33.4,32.5,31.9
Libya,LBY,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,MAC,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, the former Yugoslav Republic of",MKD,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,Prevalence of Undernourishment,27.3,29.1,29.7,31.2,32.7,33.8,34.4,34.7,34.7,34.8,35.6,36.9,38.4,38.6,37.4,34.9,33.0,31.9,31.7,31.6,31.7,32.0,32.5,32.8,33.0
Malawi,MWI,Prevalence of Undernourishment,44.7,45.7,46.9,45.7,43.2,39.5,36.7,34.0,31.2,28.6,27.0,26.6,27.3,27.9,27.7,26.4,24.6,23.1,22.2,21.8,21.3,21.0,20.8,20.8,20.7
Malaysia,MYS,Prevalence of Undernourishment,5.1,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Maldives,MDV,Prevalence of Undernourishment,12.2,11.4,11.1,10.3,10.0,10.5,11.2,11.7,11.8,11.8,11.9,12.3,13.2,14.4,15.3,15.4,14.7,13.3,11.7,10.0,8.7,7.7,6.7,5.9,5.2
Mali,MLI,Prevalence of Undernourishment,16.7,17.3,17.7,18.2,18.3,18.1,17.5,16.7,15.3,13.9,12.6,11.9,11.4,10.9,10.1,9.0,7.7,6.3,5.3,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Malta,MLT,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MHL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,Prevalence of Undernourishment,14.6,14.4,14.1,13.9,14.1,13.9,13.4,12.7,12.0,11.5,11.2,11.1,11.0,11.0,11.4,11.1,10.5,9.2,8.3,7.9,7.6,7.1,6.4,5.8,5.6
Mauritius,MUS,Prevalence of Undernourishment,8.1,8.0,7.9,7.6,7.1,6.8,6.8,7.0,7.2,7.1,6.7,6.4,6.1,5.8,5.6,5.4,5.3,5.2,5.1,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Mexico,MEX,Prevalence of Undernourishment,6.9,6.8,6.7,6.6,6.4,6.1,5.8,5.5,5.0,<5.0,<5.0,<5.0,5.4,5.5,5.3,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
"Micronesia, Federated States of",FSM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
"Moldova, Republic of",MDA,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,MCO,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,Prevalence of Undernourishment,29.9,37.1,46.1,51.4,51.7,47.6,44.6,42.4,40.5,38.2,36.1,35.0,34.7,34.9,34.9,34.0,32.4,30.1,27.9,25.9,24.5,23.4,22.5,21.5,20.5
Montenegro,MNE,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Prevalence of Undernourishment,5.9,6.7,7.5,8.0,7.7,7.2,6.5,6.2,6.2,6.5,6.6,6.5,6.1,5.8,5.5,5.5,5.4,5.4,5.4,5.3,5.2,<5.0,<5.0,<5.0,<5.0
Mozambique,MOZ,Prevalence of Undernourishment,56.1,58.8,59.4,59.2,56.1,50.7,45.9,42.7,41.9,42.0,42.1,41.3,39.7,38.2,37.3,36.9,36.0,35.0,33.3,31.8,29.9,28.5,27.2,26.2,25.3
Myanmar,MMR,Prevalence of Undernourishment,62.6,62.7,62.5,61.6,60.6,58.7,56.9,55.2,54.1,52.4,49.6,46.3,42.9,39.9,36.9,33.7,30.1,26.4,23.0,20.2,18.0,16.5,15.5,14.9,14.2
Namibia,NAM,Prevalence of Undernourishment,35.9,36.7,38.3,39.5,39.9,39.2,38.2,36.7,34.2,30.4,27.3,25.6,25.3,25.3,25.4,26.0,27.6,30.5,34.3,37.6,39.4,40.2,41.4,42.3,42.3
Nepal,NPL,Prevalence of Undernourishment,22.8,23.4,24.2,24.8,24.9,24.8,24.4,23.7,23.1,22.2,21.9,21.1,20.1,18.4,17.0,15.8,14.8,13.3,11.6,10.2,9.2,8.5,7.9,7.7,7.8
Netherlands,NLD,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,Prevalence of Undernourishment,54.4,52.7,51.5,48.3,45.1,42.9,41.4,40.2,37.8,34.8,31.3,28.3,26.4,25.1,24.3,23.2,22.3,21.5,21.0,20.3,19.5,18.5,17.7,17.1,16.6
Niger,NER,Prevalence of Undernourishment,27.7,31.0,32.4,34.7,34.9,33.2,30.6,28.0,25.4,22.8,20.5,19.1,17.9,16.6,15.4,14.5,13.7,12.8,11.8,11.1,10.5,10.2,10.0,9.7,9.5
Nigeria,NGA,Prevalence of Undernourishment,21.3,17.9,16.1,13.7,12.7,11.9,11.2,10.5,9.7,9.2,8.9,9.0,8.7,8.1,7.2,6.5,6.0,5.9,6.0,6.1,6.2,6.3,6.5,6.7,7.0
Northern Mariana Islands,MNP,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,Prevalence of Undernourishment,18.2,19.0,19.3,20.3,20.4,20.7,19.7,18.2,15.5,13.2,12.0,11.5,11.6,11.4,11.0,10.2,9.2,7.9,6.7,5.9,5.4,5.3,5.1,<5.0,<5.0
Pakistan,PAK,Prevalence of Undernourishment,25.1,25.7,24.0,23.1,22.1,21.8,21.8,22.0,22.1,22.4,23.4,24.8,25.9,25.6,24.7,23.7,22.9,22.2,21.8,21.7,21.8,21.9,22.0,22.0,22.0
Palau,PLW,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
